,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
1,1380100000,City of Caloocan,1300000000,City,HUC,,1661584,
195,1380200000,City of Las Piñas,1300000000,City,HUC,,606293,
216,1380300000,City of Makati,1300000000,City,HUC,,629616,
240,1380400000,City of Malabon,1300000000,City,HUC,,380522,
262,1380500000,City of Mandaluyong,1300000000,City,HUC,,425758,
290,1380600000,City of Manila,1300000000,City,HUC,,1846513,
1202,1380700000,City of Marikina,1300000000,City,HUC,,456059,
1219,1380800000,City of Muntinlupa,1300000000,City,HUC,,543445,
1229,1380900000,City of Navotas,1300000000,City,HUC,,247543,
1248,1381000000,City of Parañaque,1300000000,City,HUC,,689992,
1265,1381100000,Pasay City,1300000000,City,HUC,,440656,
1467,1381200000,City of Pasig,1300000000,City,HUC,,803159,
1498,1381300000,Quezon City,1300000000,City,HUC,,2960048,
1641,1381400000,City of San Juan,1300000000,City,HUC,,126347,
1663,1381500000,City of Taguig,1300000000,City,HUC,,886722,
1702,1381600000,City of Valenzuela,1300000000,City,HUC,,714978,
2501,1403213000,City of Tabuk ,1403200000,City,CC,,121033,
2879,1430300000,City of Baguio,1400000000,City,HUC,,366358,
3104,102805000,City of Batac,102800000,City,CC,,55484,
3246,102812000,City of Laoag ,102800000,City,CC,,111651,
3715,102906000,City of Candon,102900000,City,CC,,61432,
4356,102934000,City of Vigan ,102900000,City,CC,,53935,
4801,103314000,City of San Fernando ,103300000,City,CC,,125640,
5029,105503000,City of Alaminos,105500000,City,CC,,99397,
5447,105518000,City of Dagupan,105500000,City,ICC,,174302,
5896,105532000,City of San Carlos,105500000,City,CC,,205424,
6326,105546000,City of Urdaneta,105500000,City,CC,,144577,
7243,201529000,Tuguegarao City ,201500000,City,CC,,166334,
7518,203108000,City of Cauayan,203100000,City,CC,,143403,
7713,203114000,City of Ilagan ,203100000,City,CC,,158218,
8273,203135000,City of Santiago,203100000,City,ICC,,148580,
8843,300803000,City of Balanga ,300800000,City,CC,,104173,
9095,301403000,City of Baliwag,301400000,City,CC,,168470,
9245,301410000,City of Malolos ,301400000,City,CC,,261189,
9314,301412000,City of Meycauayan,301400000,City,CC,,225673,
9482,301420000,City of San Jose Del Monte,301400000,City,CC,,651813,
9721,304903000,City of Cabanatuan,304900000,City,CC,,327325,
9922,304908000,City of Gapan,304900000,City,CC,,122968,
10152,304917000,Science City of Muñoz,304900000,City,CC,,84308,
10212,304919000,City of Palayan ,304900000,City,CC,,45383,
10329,304926000,San Jose City,304900000,City,CC,,150917,
10758,305409000,Mabalacat City,305400000,City,CC,,293244,
10957,305416000,City of San Fernando ,305400000,City,CC,,354666,
11485,306916000,City of Tarlac ,306900000,City,CC,,385398,
12007,330100000,City of Angeles,300000000,City,HUC,,462928,
12041,331400000,City of Olongapo,300000000,City,HUC,,260317,
12166,401005000,Batangas City ,401000000,City,CC,,351437,
12313,401007000,City of Calaca,401000000,City,CC,,87361,
12518,401014000,City of Lipa,401000000,City,CC,,372931,
12968,401028000,City of Sto. Tomas,401000000,City,CC,,218500,
13064,401031000,City of Tanauan,401000000,City,CC,,193936,
13234,402103000,City of Bacoor,402100000,City,CC,,664625,
13282,402104000,City of Carmona,402100000,City,CC,,106256,
13297,402105000,City of Cavite,402100000,City,CC,,100674,
13382,402106000,City of Dasmariñas,402100000,City,CC,,703141,
13473,402108000,City of General Trias,402100000,City,CC,,450583,
13507,402109000,City of Imus,402100000,City,CC,,496794,
13870,402119000,City of Tagaytay,402100000,City,CC,,85330,
13958,402122000,City of Trece Martires ,402100000,City,CC,,210503,
