,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
291,1380601000,Tondo I/II,1380600000,SubMun,,,654220,
551,1380602000,Binondo,1380600000,SubMun,,,20491,
562,1380603000,Quiapo,1380600000,SubMun,,,29846,
579,1380604000,San Nicolas,1380600000,SubMun,,,42957,
595,1380605000,Santa Cruz,1380600000,SubMun,,,126735,
678,1380606000,Sampaloc,1380600000,SubMun,,,388305,
922,1380607000,San Miguel,1380600000,SubMun,,,18599,
935,1380608000,Ermita,1380600000,SubMun,,,19189,
949,1380609000,Intramuros,1380600000,SubMun,,,6103,
955,1380610000,Malate,1380600000,SubMun,,,99257,
1013,1380611000,Paco,1380600000,SubMun,,,79839,
1057,1380612000,Pandacan,1380600000,SubMun,,,84769,
1096,1380613000,Port Area,1380600000,SubMun,,,72605,
1102,1380614000,Santa Ana,1380600000,SubMun,,,203598,
1736,1381701000,Pateros,1300000000,Mun,LM,,65227,
1749,1400101000,Bangued ,1400100000,Mun,,,50382,
1781,1400102000,Boliney,1400100000,Mun,,,4551,
1790,1400103000,Bucay,1400100000,Mun,,,17953,
1812,1400104000,Bucloc,1400100000,Mun,,,2395,
1817,1400105000,Daguioman,1400100000,Mun,,,2019,
1822,1400106000,Danglas,1400100000,Mun,,,4074,
1830,1400107000,Dolores,1400100000,Mun,,,11512,
1846,1400108000,La Paz,1400100000,Mun,,,16493,
1859,1400109000,Lacub,1400100000,Mun,,,3612,
1866,1400110000,Lagangilang,1400100000,Mun,,,14914,
1884,1400111000,Lagayan,1400100000,Mun,,,4488,
1890,1400112000,Langiden,1400100000,Mun,,,3576,
1897,1400113000,Licuan-Baay,1400100000,Mun,,,4566,
1909,1400114000,Luba,1400100000,Mun,,,6518,
1918,1400115000,Malibcong,1400100000,Mun,,,4027,
1931,1400116000,Manabo,1400100000,Mun,,,11611,
1943,1400117000,Peñarrubia,1400100000,Mun,,,6951,
1953,1400118000,Pidigan,1400100000,Mun,,,12475,
1969,1400119000,Pilar,1400100000,Mun,,,10146,
1989,1400120000,Sallapadan,1400100000,Mun,,,6389,
1999,1400121000,San Isidro,1400100000,Mun,,,4745,
2009,1400122000,San Juan,1400100000,Mun,,,10688,
2029,1400123000,San Quintin,1400100000,Mun,,,5705,
2036,1400124000,Tayum,1400100000,Mun,,,14869,
2048,1400125000,Tineg,1400100000,Mun,,,4977,
2059,1400126000,Tubo,1400100000,Mun,,,5674,
2070,1400127000,Villaviciosa,1400100000,Mun,,,5675,
2080,1401101000,Atok,1401100000,Mun,,,19218,
2089,1401103000,Bakun,1401100000,Mun,,,14535,
2097,1401104000,Bokod,1401100000,Mun,,,14435,
2108,1401105000,Buguias,1401100000,Mun,,,44877,
2123,1401106000,Itogon,1401100000,Mun,,,61498,
2133,1401107000,Kabayan,1401100000,Mun,,,15806,
2147,1401108000,Kapangan,1401100000,Mun,,,19297,
2163,1401109000,Kibungan,1401100000,Mun,,,17051,
2171,1401110000,La Trinidad ,1401100000,Mun,,,137404,
2188,1401111000,Mankayan,1401100000,Mun,,,37233,
2201,1401112000,Sablan,1401100000,Mun,,,11588,
2210,1401113000,Tuba,1401100000,Mun,,,48312,
2224,1401114000,Tublay,1401100000,Mun,,,19429,
2234,1402701000,Banaue,1402700000,Mun,,,20652,
2253,1402702000,Hungduan,1402700000,Mun,,,8866,
2263,1402703000,Kiangan,1402700000,Mun,,,17691,
2278,1402704000,Lagawe ,1402700000,Mun,,,18876,
2299,1402705000,Lamut,1402700000,Mun,,,26235,
2318,1402706000,Mayoyao,1402700000,Mun,,,15621,
2346,1402707000,Alfonso Lista,1402700000,Mun,,,34061,
2367,1402708000,Aguinaldo,1402700000,Mun,,,21128,
2384,1402709000,Hingyon,1402700000,Mun,,,9930,
2397,1402710000,Tinoc,1402700000,Mun,,,18475,
2410,1402711000,Asipulo,1402700000,Mun,,,15963,
2422,1403201000,Balbalan,1403200000,Mun,,,12914,
2437,1403206000,Lubuagan,1403200000,Mun,,,9323,
2447,1403208000,Pasil,1403200000,Mun,,,10577,
2462,1403209000,Pinukpuk,1403200000,Mun,,,34275,
2486,1403211000,Rizal,1403200000,Mun,,,19554,
2545,1403214000,Tanudan,1403200000,Mun,,,8746,
2562,1403215000,Tinglayan,1403200000,Mun,,,13148,
2584,1404401000,Barlig,1404400000,Mun,,,4796,
2596,1404402000,Bauko,1404400000,Mun,,,32021,
2619,1404403000,Besao,1404400000,Mun,,,6873,
2634,1404404000,Bontoc ,1404400000,Mun,,,24104,
2651,1404405000,Natonin,1404400000,Mun,,,10339,
2663,1404406000,Paracelis,1404400000,Mun,,,31168,
2673,1404407000,Sabangan,1404400000,Mun,,,9621,
2689,1404408000,Sadanga,1404400000,Mun,,,8427,
2698,1404409000,Sagada,1404400000,Mun,,,11510,
2718,1404410000,Tadian,1404400000,Mun,,,19341,
2739,1408101000,Calanasan,1408100000,Mun,,,12550,
2758,1408102000,Conner,1408100000,Mun,,,27552,
2780,1408103000,Flora,1408100000,Mun,,,17944,
2797,1408104000,Kabugao ,1408100000,Mun,,,16215,
2819,1408105000,Luna,1408100000,Mun,,,21297,
2842,1408106000,Pudtol,1408100000,Mun,,,15491,
2865,1408107000,Santa Marcela,1408100000,Mun,,,13317,
3011,102801000,Adams,102800000,Mun,,,2189,
3013,102802000,Bacarra,102800000,Mun,,,33496,
3057,102803000,Badoc,102800000,Mun,,,32530,
3089,102804000,Bangui,102800000,Mun,,,15019,
3148,102806000,Burgos,102800000,Mun,,,10759,
3160,102807000,Carasi,102800000,Mun,,,1607,
3164,102808000,Currimao,102800000,Mun,,,12215,
3188,102809000,Dingras,102800000,Mun,,,40127,
3220,102810000,Dumalneg,102800000,Mun,,,3087,
3225,102811000,Banna,102800000,Mun,,,19297,
3327,102813000,Marcos,102800000,Mun,,,18010,
3341,102814000,Nueva Era,102800000,Mun,,,11968,
3353,102815000,Pagudpud,102800000,Mun,,,25098,
3370,102816000,Paoay,102800000,Mun,,,25001,
3402,102817000,Pasuquin,102800000,Mun,,,29678,
3436,102818000,Piddig,102800000,Mun,,,22475,
3460,102819000,Pinili,102800000,Mun,,,17626,
3486,102820000,San Nicolas,102800000,Mun,,,38895,
3511,102821000,Sarrat,102800000,Mun,,,25186,
3536,102822000,Solsona,102800000,Mun,,,24851,
3559,102823000,Vintar,102800000,Mun,,,33339,
3594,102901000,Alilem,102900000,Mun,,,7361,
3604,102902000,Banayoyo,102900000,Mun,,,7931,
3619,102903000,Bantay,102900000,Mun,,,37118,
3654,102904000,Burgos,102900000,Mun,,,12793,
