,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
1748,1400100000,Abra,1400000000,Prov,,,250985,
2079,1401100000,Benguet,1400000000,Prov,,,460683,
2233,1402700000,Ifugao,1400000000,Prov,,,207498,
2421,1403200000,Kalinga,1400000000,Prov,,,229570,
2583,1404400000,Mountain Province,1400000000,Prov,,,158200,
2738,1408100000,Apayao,1400000000,Prov,,,124366,
3010,102800000,Ilocos Norte,100000000,Prov,,,609588,
3593,102900000,Ilocos Sur,100000000,Prov,,,706009,
4396,103300000,La Union,100000000,Prov,,,822352,
4993,105500000,Pangasinan,100000000,Prov,,,3163190,
6407,200900000,Batanes,200000000,Prov,,,18831,
6443,201500000,Cagayan,200000000,Prov,,,1268603,
7293,203100000,Isabela,200000000,Prov,,,1697050,
8386,205000000,Nueva Vizcaya,200000000,Prov,,,497432,
8677,205700000,Quirino,200000000,Prov,,,203828,
8817,300800000,Bataan,300000000,Prov,,,853373,
9067,301400000,Bulacan,300000000,Prov,,,3708890,
9664,304900000,Nueva Ecija,300000000,Prov,,,2310134,
10546,305400000,Pampanga,300000000,Prov,,,2437709,
11073,306900000,Tarlac,300000000,Prov,,,1503456,
11603,307100000,Zambales,300000000,Prov,,,649615,
11847,307700000,Aurora,300000000,Prov,,,235750,
12060,401000000,Batangas,400000000,Prov,,,2908494,
13173,402100000,Cavite,400000000,Prov,,,4344829,
14000,403400000,Laguna,400000000,Prov,,,3382193,
14712,405600000,Quezon,400000000,Prov,,,1950459,
15962,405800000,Rizal,400000000,Prov,,,3330143,
16201,1704000000,Marinduque,1700000000,Prov,,,239207,
16426,1705100000,Occidental Mindoro,1700000000,Prov,,,525354,
16602,1705200000,Oriental Mindoro,1700000000,Prov,,,908339,
17044,1705300000,Palawan,1700000000,Prov,,,939594,
17435,1705900000,Romblon,1700000000,Prov,,,308985,
17740,500500000,Albay,500000000,Prov,,,1374768,
18479,501600000,Camarines Norte,500000000,Prov,,,629699,
18774,501700000,Camarines Sur,500000000,Prov,,,2068244,
19875,502000000,Catanduanes,500000000,Prov,,,271879,
20202,504100000,Masbate,500000000,Prov,,,908920,
20774,506200000,Sorsogon,500000000,Prov,,,828655,
21332,600400000,Aklan,600000000,Prov,,,615475,
21677,600600000,Antique,600000000,Prov,,,612974,
22286,601900000,Capiz,600000000,Prov,,,804952,
22777,603000000,Iloilo,600000000,Prov,,,2051899,
24542,607900000,Guimaras,600000000,Prov,,,187842,
24828,1804500000,Negros Occidental,1800000000,Prov,,,2623172,
25461,1804600000,Negros Oriental,1800000000,Prov,,,1432990,
26044,1806100000,Siquijor,1800000000,Prov,,,103395,
26248,701200000,Bohol,700000000,Prov,,,1394329,
27406,702200000,Cebu,700000000,Prov,,,3325385,
28664,802600000,Eastern Samar,800000000,Prov,,,477168,
29285,803700000,Leyte,800000000,Prov,,,1776847,
30806,804800000,Northern Samar,800000000,Prov,,,639186,
31400,806000000,Samar,800000000,Prov,,,793183,
32378,806400000,Southern Leyte,800000000,Prov,,,429573,
32898,807800000,Biliran,800000000,Prov,,,179312,
33179,907200000,Zamboanga del Norte,900000000,Prov,,,1047455,
33898,907300000,Zamboanga del Sur,900000000,Prov,,,1050668,
34607,908300000,Zamboanga Sibugay,900000000,Prov,,,669840,
35160,1001300000,Bukidnon,1000000000,Prov,,,1541308,
35647,1001800000,Camiguin,1000000000,Prov,,,92808,
35711,1003500000,Lanao del Norte,1000000000,Prov,,,722902,
36196,1004200000,Misamis Occidental,1000000000,Prov,,,617333,
36704,1004300000,Misamis Oriental,1000000000,Prov,,,956900,
37281,1102300000,Davao del Norte,1100000000,Prov,,,1125057,
37516,1102400000,Davao del Sur,1100000000,Prov,,,680481,
37759,1102500000,Davao Oriental,1100000000,Prov,,,576343,
37954,1108200000,Davao de Oro,1100000000,Prov,,,767547,
38203,1108600000,Davao Occidental,1100000000,Prov,,,317159,
38498,1204700000,Cotabato,1200000000,Prov,,,1275185,
38997,1206300000,South Cotabato,1200000000,Prov,,,975476,
39209,1206500000,Sultan Kudarat,1200000000,Prov,,,854052,
39471,1208000000,Sarangani,1200000000,Prov,,,558946,
39649,1600200000,Agusan del Norte,1600000000,Prov,,,387503,
39828,1600300000,Agusan del Sur,1600000000,Prov,,,739367,
40157,1606700000,Surigao del Norte,1600000000,Prov,,,534636,
40514,1606800000,Surigao del Sur,1600000000,Prov,,,642255,
40844,1608500000,Dinagat Islands,1600000000,Prov,,,128117,
41040,1900700000,Basilan,1900000000,Prov,,,426207,
41263,1903600000,Lanao del Sur,1900000000,Prov,,,1195518,
42468,1906600000,Sulu,1900000000,Prov,,,1000108,
42898,1907000000,Tawi-Tawi,1900000000,Prov,,,440276,
43113,1908700000,Maguindanao del Norte,1900000000,Prov,,,618421,
43385,1908800000,Maguindanao del Sur,1900000000,Prov,,,723758,
43697,1999900000,Special Geographic Area,1900000000,SGA,,,215433,
