,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
0,1300000000,National Capital Region (NCR),130000000.0,Reg,,,13484462,
1747,1400000000,Cordillera Administrative Region (CAR),140000000.0,Reg,,,1797660,
3009,100000000,Region I (Ilocos Region),10000000.0,Reg,,,5301139,
6406,200000000,Region II (Cagayan Valley),20000000.0,Reg,,,3685744,
8816,300000000,Region III (Central Luzon),30000000.0,Reg,,,12422172,
12059,400000000,Region IV-A (CALABARZON),40000000.0,Reg,,,16195042,
16200,1700000000,MIMAROPA Region,170000000.0,Reg,,,3228558,
17739,500000000,Region V (Bicol Region),50000000.0,Reg,,,6082165,
21331,600000000,Region VI (Western Visayas),60000000.0,Reg,,,7954723,
24827,1800000000,Negros Island Region (NIR),nan,Reg,,,4760340,
26247,700000000,Region VII (Central Visayas),70000000.0,Reg,,,8081988,
28663,800000000,Region VIII (Eastern Visayas),80000000.0,Reg,,,4547150,
33178,900000000,Region IX (Zamboanga Peninsula),90000000.0,Reg,,,3875576,
35159,1000000000,Region X (Northern Mindanao),100000000.0,Reg,,,5022768,
37280,1100000000,Region XI (Davao Region),110000000.0,Reg,,,5243536,
38497,1200000000,Region XII (SOCCSKSARGEN),120000000.0,Reg,,,4360974,
39648,1600000000,Region XIII (Caraga),160000000.0,Reg,,,2804788,
41039,1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),150000000.0,Reg,,,4944800,
