,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
0,1300000000,National Capital Region (NCR),130000000.0,Reg,,,13484462,
1,1380100000,City of Caloocan,1300000000,City,HUC,,1661584,
2,1380100001,Barangay 1,1380100000,Bgy,,U,2319,
3,1380100002,Barangay 2,1380100000,Bgy,,U,5156,
4,1380100003,Barangay 3,1380100000,Bgy,,U,2497,
5,1380100004,Barangay 4,1380100000,Bgy,,U,2875,
6,1380100005,Barangay 5,1380100000,Bgy,,U,3083,
7,1380100006,Barangay 6,1380100000,Bgy,,U,1190,
8,1380100007,Barangay 7,1380100000,Bgy,,U,2608,
9,1380100008,Barangay 8,1380100000,Bgy,,U,23399,
10,1380100009,Barangay 9,1380100000,Bgy,,U,1866,
11,1380100010,Barangay 10,1380100000,Bgy,,U,1485,
12,1380100011,Barangay 11,1380100000,Bgy,,U,1230,
13,1380100012,Barangay 12,1380100000,Bgy,,U,34309,
14,1380100013,Barangay 13,1380100000,Bgy,,U,1074,
15,1380100014,Barangay 14,1380100000,Bgy,,U,21906,
16,1380100015,Barangay 15,1380100000,Bgy,,U,1424,
17,1380100016,Barangay 16,1380100000,Bgy,,U,3550,
18,1380100017,Barangay 17,1380100000,Bgy,,U,3419,
19,1380100018,Barangay 18,1380100000,Bgy,,U,10932,
20,1380100019,Barangay 19,1380100000,Bgy,,U,3655,
21,1380100020,Barangay 20,1380100000,Bgy,,U,7892,
22,1380100021,Barangay 21,1380100000,Bgy,,U,2787,
23,1380100022,Barangay 22,1380100000,Bgy,,U,5653,
24,1380100023,Barangay 23,1380100000,Bgy,,U,2736,
25,1380100024,Barangay 24,1380100000,Bgy,,U,2498,
26,1380100025,Barangay 25,1380100000,Bgy,,U,1611,
27,1380100026,Barangay 26,1380100000,Bgy,,U,3734,
28,1380100027,Barangay 27,1380100000,Bgy,,U,4121,
29,1380100028,Barangay 28,1380100000,Bgy,,U,33091,
30,1380100029,Barangay 29,1380100000,Bgy,,U,1603,
31,1380100030,Barangay 30,1380100000,Bgy,,U,3498,
32,1380100031,Barangay 31,1380100000,Bgy,,U,3666,
33,1380100032,Barangay 32,1380100000,Bgy,,U,2864,
34,1380100033,Barangay 33,1380100000,Bgy,,U,5464,
35,1380100034,Barangay 34,1380100000,Bgy,,U,6445,
36,1380100035,Barangay 35,1380100000,Bgy,,U,23173,
37,1380100036,Barangay 36,1380100000,Bgy,,U,4115,
38,1380100037,Barangay 37,1380100000,Bgy,,U,2845,
39,1380100038,Barangay 38,1380100000,Bgy,,U,3854,
40,1380100039,Barangay 39,1380100000,Bgy,,U,891,
41,1380100040,Barangay 40,1380100000,Bgy,,U,963,
42,1380100041,Barangay 41,1380100000,Bgy,,U,903,
43,1380100042,Barangay 42,1380100000,Bgy,,U,715,
44,1380100043,Barangay 43,1380100000,Bgy,,U,3521,
45,1380100044,Barangay 44,1380100000,Bgy,,U,529,
46,1380100045,Barangay 45,1380100000,Bgy,,U,311,
47,1380100046,Barangay 46,1380100000,Bgy,,U,1454,
48,1380100047,Barangay 47,1380100000,Bgy,,U,559,
49,1380100048,Barangay 48,1380100000,Bgy,,U,606,
